,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
127,arraial do cabo,20,BR,1573941640,50,-22.84,-46.65,77.0,11.41
128,cayenne,0,GF,1573941640,78,4.94,-52.33,82.4,5.82
129,norman wells,25,US,1573941640,29,35.22,-97.44,63.0,19.46
130,canutama,100,BR,1573941641,94,-6.53,-64.38,75.99,0.25
131,ponta do sol,59,BR,1573941641,83,-0.53,-65.05,84.15,1.03
132,chernushka,100,RU,1573941641,92,56.5,56.08,30.79,13.49
133,neuquen,34,AR,1573941641,10,-38.95,-68.06,91.4,11.41
134,barrow,0,AR,1573941641,43,-38.31,-60.23,73.29,11.12
135,resavica,100,RS,1573941641,82,44.04,21.58,50.22,7.16
136,canton,1,US,1573941602,50,40.8,-81.38,41.0,8.05
137,port alfred,57,CD,1573941642,67,-7.04,29.76,79.97,9.22
138,kayerkan,41,RU,1573941642,77,69.35,87.76,-2.2,6.71
139,vostok,96,RU,1573941642,96,46.45,135.83,-1.86,4.34
140,adrar,0,DZ,1573941643,33,27.87,-0.29,57.2,19.46
141,vao,100,EE,1573941643,96,59.1,26.19,36.7,8.55
142,nome,1,US,1573941643,42,30.04,-94.42,64.99,5.82
143,mitsamiouli,92,KM,1573941643,85,-11.38,43.28,80.35,5.68
144,isiro,96,CD,1573941644,90,2.77,27.62,70.72,1.54
145,seoul,75,KR,1573941483,38,37.57,126.98,44.6,3.36
146,chokurdakh,100,RU,1573941644,97,70.62,147.9,-1.57,4.72
147,kahului,1,US,1573941644,48,20.89,-156.47,87.8,11.41
148,verkhnevilyuysk,100,RU,1573941644,96,63.45,120.31,-8.09,6.38
149,vestmanna,99,FO,1573941645,80,62.16,-7.17,39.2,16.11
150,severo-kurilsk,55,RU,1573941645,80,50.68,156.12,19.27,4.72
151,tiksi,100,RU,1573941645,97,71.64,128.87,-2.69,4.12
152,souillac,1,FR,1573941645,100,45.6,-0.6,45.0,3.36
153,kabo,59,CF,1573941645,37,7.69,18.62,75.99,1.05
154,hasaki,20,JP,1573941645,93,35.73,140.83,44.6,10.29
155,pangnirtung,11,CA,1573941646,72,66.15,-65.72,7.39,2.98
156,constitucion,75,MX,1573941646,37,23.99,-104.67,69.8,4.7
157,irara,19,TL,1573941646,74,-8.52,127.01,68.92,1.45
158,kirakira,94,SB,1573941646,84,-10.46,161.92,79.25,5.86
159,kaminoyama,20,JP,1573941646,66,38.13,140.3,48.2,14.99
160,paka,100,CF,1573941647,72,4.15,15.03,72.63,1.59
161,notre-dame-du-lac,1,CA,1573941647,57,47.61,-68.8,21.0,14.99
162,harper,1,US,1573941648,31,30.3,-99.24,62.6,8.05
163,yantal,18,RU,1573941648,97,56.85,105.25,-17.34,2.93
164,jalu,100,LY,1573941648,43,29.03,21.55,63.77,9.86
165,talnakh,0,RU,1573941648,77,69.49,88.39,-2.2,6.71
166,luderitz,17,NA,1573941648,72,-26.65,15.16,66.2,23.04
167,taunggyi,0,MM,1573941649,96,20.78,97.03,59.4,2.28
168,wanning,75,AT,1573941649,100,48.64,13.53,43.0,3.36
169,acapulco,75,MX,1573941649,70,16.86,-99.88,86.0,6.93
170,ternate,20,PH,1573941649,94,14.29,120.72,78.8,1.12
171,vila,75,IT,1573941649,100,45.18,8.4,46.99,5.82
172,chuy,94,UY,1573941649,76,-33.69,-53.46,73.76,5.97
173,narsaq,100,GL,1573941650,20,60.91,-46.05,33.8,13.87
174,burgos,92,ES,1573941650,86,42.34,-3.7,34.0,3.36
175,mar del plata,16,CN,1573941650,41,29.86,90.73,23.4,3.87
176,pisco,23,PE,1573941650,30,-13.71,-76.2,71.6,12.75
177,takoradi,79,GH,1573941650,81,4.89,-1.75,81.93,6.98
178,bethel,75,US,1573941643,71,60.79,-161.76,10.4,20.8
179,pinega,100,RU,1573941651,91,64.7,43.39,28.99,3.83
180,sulangan,100,PH,1573941651,73,11.14,123.72,80.82,4.94
181,saskylakh,100,RU,1573941651,97,71.97,114.09,-8.12,4.61
182,kodiak,1,US,1573941651,32,39.95,-94.76,59.0,16.11
183,bay roberts,20,PH,1573941652,94,14.18,121.28,78.8,1.12
184,nikolskoye,90,RU,1573941652,93,59.7,30.79,37.4,8.95
185,jacareacanga,100,BR,1573941652,71,-6.22,-57.76,81.72,4.56
186,jawhar,70,IN,1573941652,72,19.91,73.23,76.5,4.43
187,beringovskiy,100,RU,1573941652,75,63.05,179.32,29.53,16.87
188,longfeng,0,CN,1573941652,100,31.05,103.87,59.0,3.24
189,sobolevo,100,RU,1573941653,92,54.43,31.9,42.22,8.41
190,tvoroyri,100,FO,1573941653,80,61.56,-6.81,39.2,16.11
191,hambantota,100,LK,1573941653,100,6.12,81.12,73.4,2.24
192,saldanha,84,PT,1573941653,86,41.42,-6.55,39.18,5.84
193,ushtobe,0,KZ,1573941653,37,45.25,77.98,24.17,3.58
194,grand baie,0,FR,1573941654,93,48.39,5.49,32.0,2.24
195,rio brilhante,1,US,1573941654,60,41.11,-90.4,45.0,12.75
196,ola,100,RU,1573941654,70,59.58,151.3,10.35,14.05
197,vanimo,100,PG,1573941654,78,-2.67,141.3,84.22,19.22
198,nicoya,40,CR,1573941654,66,10.15,-85.45,87.8,10.29
199,clinton,1,US,1573941654,22,41.28,-72.53,37.99,3.36
200,tual,96,ID,1573941655,81,-5.67,132.75,80.64,3.94
201,mpanda,58,BI,1573941655,90,-3.17,29.4,59.49,3.13
202,leningradskiy,57,RU,1573941655,78,69.38,178.42,15.01,4.34
203,tazovskiy,95,RU,1573941656,92,67.47,78.7,-16.65,17.85
204,avarua,0,CK,1573941656,69,-21.21,-159.78,80.6,12.75
205,bella union,5,IT,1573941656,61,40.76,15.54,66.0,10.29
206,leshukonskoye,88,RU,1573941656,95,64.9,45.76,25.97,4.92
207,emerald,0,AU,1573941656,61,-23.53,148.16,80.01,14.99
208,manoharpur,0,IN,1573941656,71,22.35,85.21,61.41,1.1
209,lerwick,100,GB,1573941657,68,60.15,-1.15,33.8,2.42
210,sola,71,TZ,1573941657,76,-3.17,33.8,70.11,5.41
211,yoichi,75,JP,1573941657,92,43.19,140.77,26.6,13.87
212,khatanga,56,RU,1573941658,90,71.98,102.47,-12.12,2.55
213,cooma,40,AU,1573941658,70,-36.24,149.13,48.2,13.87
214,ixtapa,90,MX,1573941658,66,20.71,-105.21,84.2,6.93
215,kelso,100,GB,1573941364,93,55.6,-2.43,46.0,6.93
216,saint-augustin,20,CA,1573941658,52,45.63,-73.98,21.99,5.82
217,eyl,33,SO,1573941658,80,7.98,49.82,79.65,22.57
218,egvekinot,60,RU,1573941659,95,66.32,-179.17,5.83,10.54
219,iskilip,0,TR,1573941659,55,40.73,34.47,52.56,3.44
220,tiarei,20,PF,1573941659,66,-17.53,-149.33,86.0,6.93
221,cagliari,90,IT,1573941659,92,46.38,10.88,39.2,4.7
222,sao jose da coroa grande,71,IN,1573941659,69,20.51,76.21,69.58,3.33
223,katsuura,20,JP,1573941660,93,33.93,134.5,50.0,10.29
224,nemuro,93,JP,1573941660,62,43.32,145.57,31.6,23.78
225,talaya,75,RU,1573941660,77,55.79,84.89,3.99,20.13
226,japura,4,ID,1573941660,98,-0.42,102.29,72.12,2.01
227,husavik,82,CA,1573941660,80,50.56,-96.99,39.99,5.01
228,savonlinna,90,FI,1573941661,100,61.87,28.88,30.2,6.93
229,teya,75,MX,1573941661,50,21.05,-89.07,77.0,11.41
230,chicama,75,PE,1573941661,82,-7.84,-79.15,66.2,9.17
231,aras,20,ES,1573941661,80,42.56,-2.36,41.0,10.29
232,rangia,40,IN,1573941661,94,26.44,91.62,73.4,3.38
233,alice springs,26,ZA,1573941662,95,-32.79,26.83,57.36,3.04
234,oga,100,IT,1573941662,100,46.46,10.35,34.0,1.12
235,omsukchan,100,RU,1573941662,100,62.53,155.8,-14.66,5.41
236,veselynove,0,UA,1573941662,79,47.36,31.24,45.3,6.85
237,boyolangu,49,ID,1573941662,92,-8.09,111.9,73.9,5.64
238,kavaratti,100,IN,1573941663,75,10.57,72.64,82.45,7.96
239,kondagaon,0,IN,1573941663,86,19.59,81.66,60.94,0.51
240,preobrazheniye,0,RU,1573941663,44,42.9,133.91,17.6,9.42
241,santa ana,52,PH,1573941663,85,17.49,120.43,71.8,3.09
242,port hedland,57,CD,1573941642,67,-7.04,29.76,79.97,9.22
243,carmen,40,PH,1573941664,83,7.36,125.71,75.2,2.24
244,prince rupert,90,CA,1573941664,98,52.97,-108.38,34.0,10.29
245,udachnyy,90,RU,1573941664,83,66.42,112.4,-5.8,2.24
246,hervey bay,1,US,1573941664,26,33.5,-93.78,57.2,4.7
247,ostrovnoy,95,RU,1573941665,95,68.05,39.51,22.55,6.89
248,bulgan,100,MN,1573941665,94,48.81,103.53,-9.62,7.81
249,upernavik,100,GL,1573941665,62,72.79,-56.15,19.51,10.71
250,tefe,40,BR,1573941609,94,-3.35,-64.71,78.8,5.82
251,floro,7,NO,1573941665,74,61.6,5.03,33.8,5.82
252,praia da vitoria,40,BR,1573941665,73,-20.25,-43.81,75.2,6.93
253,deori,0,IN,1573941666,55,23.12,78.69,65.55,2.64
254,fort-shevchenko,0,KZ,1573941666,77,44.51,50.26,37.22,10.49
255,launceston,0,AU,1573941666,57,-41.43,147.14,54.0,8.05
256,riachao do jacuipe,0,BR,1573941667,48,-7.36,-46.62,85.89,2.28
257,cerano,75,IT,1573941667,100,45.41,8.78,48.2,5.82
258,angren,100,UZ,1573941667,66,41.01,70.08,36.7,0.31
259,saint-denis,90,FR,1573941667,87,48.94,2.36,43.0,4.7
260,chapais,1,CA,1573941667,60,49.78,-74.86,8.6,4.7
261,ketchikan,90,US,1573941668,93,55.34,-131.65,51.8,17.22
262,birao,44,CF,1573941668,32,10.3,22.78,77.14,5.61
263,nipawin,90,CA,1573941668,86,53.36,-104.02,28.4,12.75
264,buchanan,96,LR,1573941668,88,5.88,-10.05,77.76,2.84
265,fortuna,1,US,1573941669,82,40.6,-124.16,64.99,5.82
266,abapo,94,BO,1573941669,16,-18.83,-63.47,94.57,8.59
267,kikwit,100,CD,1573941669,99,-5.04,18.82,67.53,2.55
268,pulaski,1,US,1573941669,60,37.05,-80.78,48.99,8.05
269,san quintin,18,ML,1573941609,19,13.3,-4.9,84.18,8.23
270,borogontsy,92,RU,1573941670,98,62.67,131.17,-19.62,4.85
271,san vicente,18,ML,1573941602,19,13.3,-4.9,84.18,8.23
272,puerto ayacucho,40,AR,1573941632,39,-51.62,-69.23,62.6,24.16
273,linxia,100,CN,1573941670,40,35.6,103.21,27.34,2.89
274,tocopilla,69,CL,1573941670,17,-22.09,-70.2,68.27,9.17
275,northam,90,AU,1573941671,93,-31.65,116.67,66.2,8.05
276,nortelandia,100,BR,1573941551,83,-14.45,-56.8,81.54,2.26
277,vikhorevka,64,RU,1573941671,75,56.12,101.17,-13.0,2.24
278,antofagasta,75,CL,1573941671,68,-23.65,-70.4,66.2,11.41
279,geraldton,90,CA,1573941671,85,49.72,-86.95,32.0,16.11
280,beira,75,ES,1573941671,87,43.2,-8.36,53.01,4.7
281,olinda,75,AU,1573941672,66,-37.84,145.39,57.0,11.41
282,san matias,18,ML,1573941609,19,13.3,-4.9,84.18,8.23
283,nhulunbuy,15,AU,1573941672,83,-12.18,136.78,80.6,11.9
284,klaksvik,100,FO,1573941672,80,62.23,-6.59,39.2,16.11
285,fershampenuaz,0,RU,1573941672,71,53.52,59.82,28.06,10.2
286,araruama,0,BR,1573941596,83,-22.87,-42.34,71.6,11.41
287,belmonte,4,PT,1573941673,98,40.36,-7.35,44.01,5.48
288,negotino,97,MK,1573941673,93,41.48,22.09,51.01,2.24
289,miandrivazo,39,MG,1573941674,77,-19.53,45.46,77.43,5.68
290,zhangjiakou,100,CN,1573941674,95,40.77,114.88,29.08,5.01
291,weyburn,100,CA,1573941674,88,49.67,-103.85,35.01,21.99
292,ibra,100,OM,1573941674,38,22.69,58.55,69.15,6.64
293,gizo,0,IL,1573941675,68,31.8,34.94,66.2,4.7
294,chara,40,GR,1573941675,100,39.42,22.43,53.6,1.59
295,paamiut,100,GL,1573941675,46,61.99,-49.67,25.92,14.12
296,buckeye,75,US,1573941462,19,33.37,-112.58,82.4,4.7
297,mount isa,75,GB,1573941676,93,53.66,-1.85,46.99,8.05
298,kruisfontein,100,ZA,1573941676,96,-34.0,24.73,60.67,7.94
299,jaisalmer,0,IN,1573941676,65,26.91,70.91,70.79,8.19
300,zemio,95,CF,1573941676,77,5.02,25.13,74.1,2.33
301,hanzhong,68,CN,1573941677,70,33.08,107.03,54.09,1.97
302,salinas,1,US,1573941677,49,36.67,-121.66,75.99,5.55
303,wamba,100,CD,1573941677,98,2.14,27.99,68.4,3.13
304,iquique,100,CL,1573941678,56,-20.22,-70.14,69.8,12.75
305,ulaanbaatar,75,MN,1573941678,70,47.92,106.92,-4.0,17.9
306,namibe,91,AO,1573941678,78,-15.19,12.15,70.92,15.03
307,bayan,100,CN,1573941678,43,36.1,102.26,25.3,7.02
308,zyryanka,100,RU,1573941678,95,65.73,150.89,-2.13,13.47
309,alyangula,100,AU,1573941679,94,-13.85,136.42,71.6,4.7
310,hithadhoo,100,MV,1573941635,75,-0.6,73.08,81.48,11.1
311,quepos,75,CR,1573941679,100,9.43,-84.16,77.0,11.41
312,fort saint james,0,IN,1573941679,79,17.96,79.61,69.73,4.83
313,santander,40,PH,1573941679,78,9.42,123.33,77.0,4.47
314,lagoa,0,PT,1573941680,71,37.14,-8.45,52.0,5.82
315,shimorskoye,67,RU,1573941680,86,55.33,42.04,33.01,9.98
316,moron,13,HT,1573941680,69,18.56,-74.26,81.84,4.94
317,port hardy,57,CD,1573941680,67,-7.04,29.76,79.97,9.22
318,pacific grove,90,US,1573941680,71,47.26,-122.25,54.0,5.82
319,poyarkovo,0,RU,1573941681,90,49.62,128.65,1.11,4.16
320,talara,100,PE,1573941681,100,-4.58,-81.27,62.6,13.87
321,camacha,40,PT,1573941681,63,33.08,-16.33,64.4,10.29
322,labytnangi,100,RU,1573941681,93,66.66,66.39,6.03,17.58
323,yazman,0,SY,1573941681,40,36.74,38.46,59.56,6.24
324,codo,20,ES,1573941682,70,41.33,-0.7,45.0,9.17
325,sur,74,OM,1573941387,41,22.57,59.53,71.89,4.27
326,saint-leu,100,RE,1573941401,73,-21.15,55.28,75.2,5.82
327,sao filipe,71,IN,1573941682,69,20.51,76.21,69.58,3.33
328,kiama,90,AU,1573941682,88,-34.67,150.86,64.99,10.29
329,bergen,15,NO,1573941682,83,60.39,5.33,41.0,2.24
330,chateauroux,90,FR,1573941683,93,43.72,0.65,45.0,5.82
331,anchorage,90,US,1573941506,92,61.22,-149.89,34.0,3.36
332,khor,38,RU,1573941683,81,47.88,134.96,6.42,11.68
333,marsh harbour,75,GB,1573941683,93,53.65,-1.81,46.99,8.05
334,ancud,90,CL,1573941683,87,-41.87,-73.83,53.6,16.11
335,riyadh,37,SA,1573941606,55,24.63,46.72,60.8,4.7
336,cacoal,96,BR,1573941684,90,-11.43,-61.44,78.66,5.46
337,alaca,0,TR,1573941684,72,40.17,34.84,45.03,3.42
338,rocha,100,UY,1573941684,78,-34.48,-54.34,70.25,7.94
339,behbahan,84,IR,1573941684,62,30.59,50.24,53.6,4.43
340,dingle,100,PH,1573941685,88,11.0,122.67,72.99,1.63
341,kenora,90,CA,1573941671,69,49.76,-94.48,39.2,17.22
342,mahibadhoo,94,MV,1573941685,79,3.78,72.97,80.83,14.41
343,hami,0,CN,1573941686,24,42.84,93.51,14.81,1.07
344,nunoa,84,PE,1573941686,80,-14.48,-70.64,44.24,13.18
345,marawi,67,PH,1573941686,93,8.0,124.29,63.61,3.13
346,valdivia,75,CL,1573941686,67,-39.81,-73.25,60.8,13.87
347,vardo,1,US,1573941686,18,39.62,-77.74,42.01,10.29
348,pochutla,75,MX,1573941687,70,15.74,-96.47,86.0,11.41
349,brokopondo,40,SR,1573941687,88,5.06,-54.98,81.0,5.82
350,taos,1,US,1573941687,15,36.41,-105.57,61.0,17.22
351,comodoro rivadavia,100,BR,1573941687,94,-13.66,-59.79,76.73,2.39
352,lompoc,1,US,1573941600,28,34.64,-120.46,86.0,8.05
353,svetlaya,0,RU,1573941687,43,46.54,138.33,22.05,15.5
354,meulaboh,100,ID,1573941688,93,4.14,96.13,76.44,11.05
355,vestmannaeyjar,98,IS,1573941688,62,63.44,-20.27,40.98,15.64
356,sao joao da barra,71,IN,1573941659,69,20.51,76.21,69.58,3.33
357,port blair,57,CD,1573941642,67,-7.04,29.76,79.97,9.22
358,saint-paul,100,FR,1573941688,100,45.22,1.9,41.0,3.36
359,manaus,75,BR,1573941689,78,-3.13,-59.98,80.6,3.36
360,muravlenko,100,RU,1573941689,95,63.79,74.5,3.36,13.22
361,kautokeino,27,NO,1573941689,97,69.01,23.04,2.52,5.3
362,coihaique,90,CL,1573941689,76,-45.58,-72.07,50.0,5.82
363,nenjiang,33,CN,1573941689,80,49.17,125.23,4.17,2.44
364,sangar,100,RU,1573941690,99,63.92,127.47,-19.28,3.13
365,nenita,98,PH,1573941690,94,12.49,124.8,76.05,5.91
366,lingolsheim,20,FR,1573941690,85,48.56,7.68,37.4,2.24
367,kuminskiy,98,RU,1573941690,97,58.67,66.57,22.95,5.5
368,zamora,19,ES,1573941690,86,41.51,-5.74,37.0,6.93
369,marshall,1,US,1573941690,43,39.12,-93.2,55.99,10.29
370,guia de isora,40,PT,1573941691,93,39.95,-8.79,51.01,4.7
371,luchegorsk,27,RU,1573941691,72,46.44,134.3,10.45,8.34
372,amapa,75,HN,1573941691,74,15.09,-87.97,80.6,13.87
373,nangomba,66,TZ,1573941691,66,-10.9,38.52,80.1,10.71
374,yamada,40,JP,1573941691,87,36.58,137.08,48.99,2.24
375,iracoubo,20,GF,1573941692,79,5.48,-53.21,82.56,13.29
376,bandarbeyla,3,SO,1573941692,78,9.49,50.81,79.93,21.47
377,nanortalik,100,GL,1573941692,79,60.14,-45.24,31.91,28.23
378,luena,87,AO,1573941692,83,-11.78,19.91,66.02,4.05
379,orotukan,100,RU,1573941692,95,62.26,151.67,-9.06,4.54
380,lebrija,40,CO,1573941693,88,7.11,-73.22,87.8,10.29
381,ruston,1,US,1573941673,24,32.52,-92.64,59.0,5.06
382,sibu,75,MY,1573941693,94,2.29,111.83,75.2,2.04
383,vila velha,75,IT,1573941480,93,45.18,8.4,46.99,5.82
384,surt,100,LY,1573941694,33,31.21,16.59,67.48,15.68
385,venado tuerto,90,MX,1573941694,52,22.93,-101.09,63.18,5.17
386,puerto quijarro,40,AR,1573941632,39,-51.62,-69.23,62.6,24.16
387,sorong,61,ID,1573941694,99,-0.86,131.25,72.73,1.79
